type,ADF_stat,p_value,stationary_1%,stationary_10%
CommitCommentEvent,-1.8261640556214542,0.6920076009031427,False,False
CreateEvent,-1.2007843647102563,0.9103420164234194,False,False
DeleteEvent,-2.433706737791494,0.36185837004853283,False,False
GollumEvent,-3.2358956365456293,0.07748340868741321,False,True
IssueCommentEvent,-1.0827360984973062,0.9319017443527448,False,False
IssuesEvent,-5.017817081167772,0.0001909104328879882,True,True
MemberEvent,-6.09798644214993,1.3641084356033744e-06,True,True
PublicEvent,0.24523733639337378,0.9960178819590597,False,False
PullRequestEvent,-2.0880960508460777,0.5527559859448613,False,False
PullRequestReviewCommentEvent,-3.2807154548748247,0.06948416680904222,False,True
PushEvent,-2.109950953200062,0.5405200468454397,False,False
ReleaseEvent,-1.7908132614819812,0.7091711172783389,False,False
WatchEvent,-1.2711503566589883,0.8948799914036351,False,False
PullRequestReviewEvent,-2.8074939908144296,0.1942055921148121,False,False
