type,first_occurrence,last_occurrence,total_count
CommitCommentEvent,2017-01-01,2025-10-27,"14,863,010"
CreateEvent,2017-01-01,2025-10-27,"768,145,840"
DeleteEvent,2017-01-01,2025-10-27,"170,567,434"
GollumEvent,2017-01-01,2025-10-27,"13,774,324"
IssueCommentEvent,2017-01-01,2025-10-27,"282,310,732"
IssuesEvent,2017-01-01,2025-10-27,"151,241,627"
MemberEvent,2017-01-01,2025-10-27,"20,986,964"
PublicEvent,2017-01-01,2025-10-27,"17,425,540"
PullRequestEvent,2017-01-01,2025-10-27,"401,807,635"
PullRequestReviewCommentEvent,2017-01-01,2025-10-27,"88,703,161"
PullRequestReviewEvent,2023-01-01,2025-10-27,"95,892,747"
PushEvent,2017-01-01,2025-10-27,"3,591,893,654"
ReleaseEvent,2017-01-01,2025-10-27,"30,782,457"
WatchEvent,2017-01-01,2025-10-27,"312,889,049"
