event_date,year,type,total_events
2017-01-01,2017,CommitCommentEvent,863
2017-01-01,2017,CreateEvent,67439
2017-01-01,2017,DeleteEvent,13797
2017-01-01,2017,GollumEvent,2770
2017-01-01,2017,IssueCommentEvent,24594
2017-01-01,2017,IssuesEvent,13833
2017-01-01,2017,MemberEvent,937
2017-01-01,2017,PublicEvent,395
2017-01-01,2017,PullRequestEvent,18445
2017-01-01,2017,PullRequestReviewCommentEvent,4028
2017-01-01,2017,PushEvent,233551
2017-01-01,2017,ReleaseEvent,1679
2017-01-01,2017,WatchEvent,37723
2017-01-02,2017,CommitCommentEvent,1843
2017-01-02,2017,CreateEvent,100766
2017-01-02,2017,DeleteEvent,17075
2017-01-02,2017,GollumEvent,5037
2017-01-02,2017,IssueCommentEvent,50855
2017-01-02,2017,IssuesEvent,26565
2017-01-02,2017,MemberEvent,2905
2017-01-02,2017,PublicEvent,772
2017-01-02,2017,PullRequestEvent,36388
2017-01-02,2017,PullRequestReviewCommentEvent,10496
2017-01-02,2017,PushEvent,363408
2017-01-02,2017,ReleaseEvent,2757
2017-01-02,2017,WatchEvent,58730
2017-01-03,2017,CommitCommentEvent,2301
2017-01-03,2017,CreateEvent,136365
2017-01-03,2017,DeleteEvent,22761
2017-01-03,2017,GollumEvent,6195
2017-01-03,2017,IssueCommentEvent,81365
2017-01-03,2017,IssuesEvent,37758
2017-01-03,2017,MemberEvent,4394
2017-01-03,2017,PublicEvent,962
2017-01-03,2017,PullRequestEvent,54778
2017-01-03,2017,PullRequestReviewCommentEvent,18646
2017-01-03,2017,PushEvent,481146
2017-01-03,2017,ReleaseEvent,3659
2017-01-03,2017,WatchEvent,92087
2017-01-04,2017,CommitCommentEvent,2697
2017-01-04,2017,CreateEvent,140780
2017-01-04,2017,DeleteEvent,25638
2017-01-04,2017,GollumEvent,7109
2017-01-04,2017,IssueCommentEvent,85672
2017-01-04,2017,IssuesEvent,39549
2017-01-04,2017,MemberEvent,4993
2017-01-04,2017,PublicEvent,958
2017-01-04,2017,PullRequestEvent,58943
2017-01-04,2017,PullRequestReviewCommentEvent,21547
2017-01-04,2017,PushEvent,507238
2017-01-04,2017,ReleaseEvent,3791
2017-01-04,2017,WatchEvent,91763
2017-01-05,2017,CommitCommentEvent,2750
2017-01-05,2017,CreateEvent,127117
2017-01-05,2017,DeleteEvent,25939
2017-01-05,2017,GollumEvent,6324
2017-01-05,2017,IssueCommentEvent,80810
2017-01-05,2017,IssuesEvent,37518
2017-01-05,2017,MemberEvent,4741
2017-01-05,2017,PublicEvent,907
2017-01-05,2017,PullRequestEvent,57415
2017-01-05,2017,PullRequestReviewCommentEvent,20744
2017-01-05,2017,PushEvent,471894
2017-01-05,2017,ReleaseEvent,3501
2017-01-05,2017,WatchEvent,87110
2017-01-06,2017,CommitCommentEvent,2668
2017-01-06,2017,CreateEvent,134028
2017-01-06,2017,DeleteEvent,25179
2017-01-06,2017,GollumEvent,6134
2017-01-06,2017,IssueCommentEvent,81255
2017-01-06,2017,IssuesEvent,37398
2017-01-06,2017,MemberEvent,4171
2017-01-06,2017,PublicEvent,910
2017-01-06,2017,PullRequestEvent,57500
2017-01-06,2017,PullRequestReviewCommentEvent,20112
2017-01-06,2017,PushEvent,487690
2017-01-06,2017,ReleaseEvent,3709
2017-01-06,2017,WatchEvent,85505
2017-01-07,2017,CommitCommentEvent,1168
2017-01-07,2017,CreateEvent,69335
2017-01-07,2017,DeleteEvent,11143
2017-01-07,2017,GollumEvent,3393
2017-01-07,2017,IssueCommentEvent,30649
2017-01-07,2017,IssuesEvent,16722
2017-01-07,2017,MemberEvent,1624
2017-01-07,2017,PublicEvent,476
2017-01-07,2017,PullRequestEvent,23923
2017-01-07,2017,PullRequestReviewCommentEvent,5978
2017-01-07,2017,PushEvent,262903
2017-01-07,2017,ReleaseEvent,1607
2017-01-07,2017,WatchEvent,42280
2017-01-08,2017,CommitCommentEvent,1796
2017-01-08,2017,CreateEvent,101028
2017-01-08,2017,DeleteEvent,15902
2017-01-08,2017,GollumEvent,4864
2017-01-08,2017,IssueCommentEvent,45277
2017-01-08,2017,IssuesEvent,24678
2017-01-08,2017,MemberEvent,2231
2017-01-08,2017,PublicEvent,740
2017-01-08,2017,PullRequestEvent,34502
2017-01-08,2017,PullRequestReviewCommentEvent,8489
2017-01-08,2017,PushEvent,380765
2017-01-08,2017,ReleaseEvent,2580
2017-01-08,2017,WatchEvent,58705
2017-01-09,2017,CommitCommentEvent,2553
2017-01-09,2017,CreateEvent,151442
2017-01-09,2017,DeleteEvent,30015
2017-01-09,2017,GollumEvent,7523
2017-01-09,2017,IssueCommentEvent,88943
2017-01-09,2017,IssuesEvent,41466
2017-01-09,2017,MemberEvent,5749
2017-01-09,2017,PublicEvent,1070
2017-01-09,2017,PullRequestEvent,62648
2017-01-09,2017,PullRequestReviewCommentEvent,23129
2017-01-09,2017,PushEvent,525828
2017-01-09,2017,ReleaseEvent,3868
2017-01-09,2017,WatchEvent,93762
2017-01-10,2017,CommitCommentEvent,2580
2017-01-10,2017,CreateEvent,153319
2017-01-10,2017,DeleteEvent,27339
2017-01-10,2017,GollumEvent,7448
2017-01-10,2017,IssueCommentEvent,94990
2017-01-10,2017,IssuesEvent,44080
2017-01-10,2017,MemberEvent,5470
2017-01-10,2017,PublicEvent,1070
2017-01-10,2017,PullRequestEvent,65543
2017-01-10,2017,PullRequestReviewCommentEvent,25078
2017-01-10,2017,PushEvent,530337
2017-01-10,2017,ReleaseEvent,4227
2017-01-10,2017,WatchEvent,92297
2017-01-11,2017,CommitCommentEvent,2948
2017-01-11,2017,CreateEvent,155685
2017-01-11,2017,DeleteEvent,30342
2017-01-11,2017,GollumEvent,7526
2017-01-11,2017,IssueCommentEvent,98996
2017-01-11,2017,IssuesEvent,46019
2017-01-11,2017,MemberEvent,5587
2017-01-11,2017,PublicEvent,1046
2017-01-11,2017,PullRequestEvent,66832
2017-01-11,2017,PullRequestReviewCommentEvent,25050
2017-01-11,2017,PushEvent,545790
2017-01-11,2017,ReleaseEvent,4917
2017-01-11,2017,WatchEvent,91258
2017-01-12,2017,CommitCommentEvent,2751
2017-01-12,2017,CreateEvent,154111
2017-01-12,2017,DeleteEvent,28303
2017-01-12,2017,GollumEvent,8079
2017-01-12,2017,IssueCommentEvent,96179
2017-01-12,2017,IssuesEvent,45913
2017-01-12,2017,MemberEvent,5625
2017-01-12,2017,PublicEvent,1130
2017-01-12,2017,PullRequestEvent,66812
2017-01-12,2017,PullRequestReviewCommentEvent,24146
2017-01-12,2017,PushEvent,538036
2017-01-12,2017,ReleaseEvent,4109
2017-01-12,2017,WatchEvent,91046
2017-01-13,2017,CommitCommentEvent,2377
2017-01-13,2017,CreateEvent,138345
2017-01-13,2017,DeleteEvent,24325
2017-01-13,2017,GollumEvent,7031
2017-01-13,2017,IssueCommentEvent,86024
2017-01-13,2017,IssuesEvent,41097
2017-01-13,2017,MemberEvent,6170
2017-01-13,2017,PublicEvent,1097
2017-01-13,2017,PullRequestEvent,59454
2017-01-13,2017,PullRequestReviewCommentEvent,20603
2017-01-13,2017,PushEvent,501855
2017-01-13,2017,ReleaseEvent,3942
2017-01-13,2017,WatchEvent,84798
2017-01-14,2017,CommitCommentEvent,1598
2017-01-14,2017,CreateEvent,227300
2017-01-14,2017,DeleteEvent,17007
2017-01-14,2017,GollumEvent,4655
2017-01-14,2017,IssueCommentEvent,50347
2017-01-14,2017,IssuesEvent,27557
2017-01-14,2017,MemberEvent,3049
2017-01-14,2017,PublicEvent,780
2017-01-14,2017,PullRequestEvent,35146
2017-01-14,2017,PullRequestReviewCommentEvent,8666
2017-01-14,2017,PushEvent,457936
2017-01-14,2017,ReleaseEvent,2506
2017-01-14,2017,WatchEvent,55289
2017-01-15,2017,CommitCommentEvent,1506
2017-01-15,2017,CreateEvent,126135
2017-01-15,2017,DeleteEvent,17585
2017-01-15,2017,GollumEvent,5007
2017-01-15,2017,IssueCommentEvent,46876
2017-01-15,2017,IssuesEvent,26904
2017-01-15,2017,MemberEvent,2794
2017-01-15,2017,PublicEvent,745
2017-01-15,2017,PullRequestEvent,34718
2017-01-15,2017,PullRequestReviewCommentEvent,8659
2017-01-15,2017,PushEvent,392616
2017-01-15,2017,ReleaseEvent,2628
2017-01-15,2017,WatchEvent,59015
2017-01-16,2017,CommitCommentEvent,2533
2017-01-16,2017,CreateEvent,151621
2017-01-16,2017,DeleteEvent,25377
2017-01-16,2017,GollumEvent,7374
2017-01-16,2017,IssueCommentEvent,81033
2017-01-16,2017,IssuesEvent,40661
2017-01-16,2017,MemberEvent,5340
2017-01-16,2017,PublicEvent,1122
2017-01-16,2017,PullRequestEvent,57412
2017-01-16,2017,PullRequestReviewCommentEvent,19583
2017-01-16,2017,PushEvent,533833
2017-01-16,2017,ReleaseEvent,4022
2017-01-16,2017,WatchEvent,94353
2017-01-17,2017,CommitCommentEvent,2983
2017-01-17,2017,CreateEvent,167778
2017-01-17,2017,DeleteEvent,28560
2017-01-17,2017,GollumEvent,9075
2017-01-17,2017,IssueCommentEvent,99169
2017-01-17,2017,IssuesEvent,50735
2017-01-17,2017,MemberEvent,6602
2017-01-17,2017,PublicEvent,1152
2017-01-17,2017,PullRequestEvent,67027
